id,name,ingredients,steps
10,Beef goulash with Carlsbad dumplings,"Bay leaf, Crushed cumin, Whole beef shoulder, Carlsbad dumpling, Sliced onion, Butter, Milk, Ground nutmeg, Black pepper, Flat-leaf parsley, Tomato paste, Rolls, Fat, Sweet paprika, Salt, Dried marjoram, Egg","Coarsely chop the onion. Once the meat is soft, mix the marjoram in the palms of your hands into the stew, add salt and pepper as needed, stir and cook for 5 minutes. Let the finished stew rest for at least 15 minutes, then return the casserole to a higher heat, add the meat and sauté, stirring frequently, until the bottom of the casserole has evaporated all the juices that the meat has released. Once there is only fat left on the bottom of the casserole, turn the heat down to medium and sauté the meat for another 5 minutes, stirring frequently, until golden brown. Stir everything thoroughly with a flat spoon from the bottom of the casserole to dissolve the mixture. Bring to the boil, cover with a lid, turn the heat down to low and simmer on a very low heat."
11,Cake with nuts,"Cocoa, Coffee suitable for this dish, Coarse flour, Cocoa powder, Flour, Milk, Butter, Flour, Eggs, Walnuts","The egg white snow must be so stiff that it does not fall out of the bowl when turned upside down.

After baking, stick a skewer into the cake. If a sticky batter appears on the skewer, bake the cake for another 5 minutes and repeat the test with the skewer.

If the cake cannot be turned out, cover the inverted mould with a cold wet cloth. After a while
it will release itself. However, you won't need such help if you grease the mould thoroughly
with lard instead of oil or butter. You can also dust it with breadcrumbs instead of flour.

You can add raisins to the dough.

You can brush the still hot cake with melted butter and immediately sprinkle with icing sugar.Pour the batter into the prepared tin, place in the preheated oven and bake for 35-40 minutes. After baking, immediately turn the cake out of the tin onto a wire rack. After cooling, sprinkle the cake with icing sugar., Heat the oven to 160 °C. Heat the butter in a saucepan. Bake the"
12,Pea cream soup,"Onion, Semolina sugar, Chicken broth, Butter, Mint, Frozen peas, Black pepper, Leek, Whipping cream (min. 31%), Salt, Sour cream","If you want the soup to get a fresh green colour, you must not cook the peas for a long time, as they turn grey when cooked for longer.

You can serve the soup with toasted croutons made from rolls or buns, finely chop the leeks and onions. Heat 70 g butter in a saucepan over medium heat, add the leeks and onions, stir, cover with a lid and simmer for 3 minutes. Stir again, add the mint leaves, the remaining butter and blend the soup thoroughly in a blender. Then strain it through a colander into a clean pot. Just reheat the soup briefly before serving and season with salt if necessary., Add the frozen peas, increase the heat and stir thoroughly for 2 minutes. Pour in the boiling stock, season with salt and pepper, add sugar and bring to the boil. Add the sweet and sour cream, bring to the boil again and remove the saucepan from the heat."
14,Chicken soup with coconut milk,"Fresh Coriander, Red Chilli, Garlic, Spring Onion, Coconut Milk, Skinless Chicken Breast, Chicken Broth, Lime, Fish Sauce, Salt, Brown Sugar Cane, Ginger","Remove the meat from the pot and cut into 1 cm thick slices. Strain the finished broth through a fine sieve into a clean pot, bring the seasoned broth to a boil, add the ginger and coconut milk and bring to a boil again. Add the chopped coriander, the chopped meat from the seasoned stock and the sugar, stir, bring to the boil and cook for 3 minutes, Add the lime juice, stir, add the fish sauce, bring to the boil again and cook for a further 3 minutes. Add salt to taste. Add the spring onions and chilli, stir and remove from the heat., Put the ingredients for the stock in a saucepan, bring to the boil, skim off the foam and cook uncovered over a low heat for 15 minutes. Then remove from the heat and let stand for 20 minutes. The rest of the seasoned broth can be frozen or more can be prepared."
15,Chicken broth,"Bay leaf, Black pepper whole, Fresh thyme, Garlic, Onion, Chicken wings, Chicken necks, Chicken skeleton, Carrots, Allspice whole, Flat leaf parsley, Leek, Celery stalks, Salt","Strain the finished broth through a fine sieve and boil to a volume of about 3 litres. Once the broth has cooled, skim the fat from the surface and discard it.Rinse the necks and wings thoroughly under running water and place them in a large pot with the skins and browned skeletons. Cover with water so that everything is submerged and bring to the boil. Skim off any foam that forms on the surface. Add the pepper, salt, allspice, thyme and bay leaf. Turn the heat down to low and cook for 75 minutes. Add the chopped vegetables, onion, garlic and flat-leaved parsley. Bring to the boil over a medium heat, reduce the heat to minimum, skim off the foam and cook for 45 minutes.

Once cooled, remove the fat from the broth and refrigerate the broth or put it in the fridge for a few minutes."
16,Couscous with dried fruit,"Star anise, Lemon, Pomegranate, Couscous, Almond slices, Mint, Unsalted pistachios, Olive oil, Black pepper, Pine nuts, Flat leaf parsley, Raisins, Shredded coconut, Salt, Dried apricots, Cinnamon roll","Bring 600 ml of water to the boil with the star anise, cinnamon and 1 tablespoon of salt. Once the water starts to bubble, pour it into the bowl with the couscous. Add 2 tablespoons of olive oil, mix thoroughly, cover with a lid or inverted plate and leave to stand until all the water has been absorbed and the couscous is soft. Take out the star anise and cinnamon and discard them, cut open the pomegranate and use a spoon to scoop out the seeds. Remove any white pulp. Finely chop the apricots and coarsely chop the pistachios. Stir the pine seeds, pistachios, almond slices, dried fruit, coconut, chopped herbs, pomegranate seeds and lemon zest and juice into the finished couscous. Stir in the remaining olive oil, season with salt and pepper to taste, and toss to mix.Place the couscous in a large bowl.Heat a skillet over medium heat and dry fry the shredded coconut, stirring constantly, until light golden. Place the finished coconut in a bowl to cool."
17,Szeged goulash,"Garlic, Onion, Smooth flour, Cauliflower dumplings, Ground cumin, Sauerkraut, Lard, Sweet paprika, Bacon, Salt, Pork shoulder (whole or cubed), Suitable beer, Sour cream","Cut the meat into 2 cm cubes. Cut the bacon into 1 cm cubes. Finely chop the onion. Squeeze the cabbage out of the brine and roughly slice. Peel and crush the garlic, add the fried bacon and cabbage and simmer for another 30 minutes or until the meat is tender. Stir occasionally. Add the sour cream, stir and cook over low heat for 3 minutes. Add salt to taste, reduce heat to below half, add sweet paprika and sauté for 1 minute. Add the flour and stir fry for 1 minute. Add 1 teaspoon salt, 1.4 litres of water and bring to the boil. Lower the heat to below one-third, cover with a lid and simmer for 30 minutes. Add the lard and caraway seeds to the casserole and stir. Reduce the heat to half, add the onion and sauté, stirring occasionally, for 15 minutes. Add the meat, increase the heat and sear for 5 minutes, stirring frequently. Add the garlic and stir"
18,Meatloaf,"Baguette, Potatoes type A, B, C, Garlic, Bread, Onion, Crushed cumin, Milk, Ground beef, Ground pork, Black pepper , Rolls, Salt, Dried marjoram, Eggs, Suitable beer","Place the minced meat in a larger bowl, add the soaked bread, the remaining ingredients and mix thoroughly. With wet hands, shape the meat mixture into a doughnut. Smooth it, brush the surface with water and place in a baking dish. Beef only tends to be dry and crumbles. You can thicken the meatloaf mixture with breadcrumbs or add a little water as needed.

Freshly crushed cumin will give the meatloaf a stronger and better taste than bought ground. You can beat it in an old mortar.

Literally flatten the meatloaf so that the meat mass is well combined and no air bubbles remain. The baked meatloaf should be soft, springy and juicy.

You can add thyme or red pepper to the meatloaf to taste, or you can cover the surface with slices of bacon.

You can add hard-boiled eggs to the meatloaf before baking, or add diced cubes of bacon and onion."
19,Indian chicken,"Whole chicken, Curry spices, Butter, Hot peppers, Black pepper , Rice, Sweet peppers, Creamy white yoghurt, Salt, Wine suitable for poultry meat","Mix the yoghurt thoroughly with the spices and salt.The chicken must be left to rest in the marinade for at least 12 hours, thanks to which the dish will acquire its unique flavour.

The chicken is best with steamed rice. Then brush it thoroughly with the spiced yoghurt all over (including the cuts). Place the chicken in a bowl, cover with cling film and put in the fridge overnight., Place the butter cut into cubes on a baking tray, add hot water to a height of 0,5 cm and place the chicken in the tray with all the yoghurt in which the chicken has been marinated., Place the tray in a preheated oven and bake for 75 minutes, or until the thigh bone is cooked through without resistance. During baking, baste the chicken several times with the fat., Heat the oven to 180 °C."
20,Beef spit on mushrooms,"Potatoes type A, B, C, Onions, Smooth flour, Beef roast, Beef broth, Butter, Vinegar, Black pepper , Flat leaf parsley, Rice, Fat, Fresh mushroom mix, Salt, Dried mushrooms, Pasta, Wine suitable for beef","Clean the fresh mushrooms, roughly chop the larger ones, leave the smaller ones whole. In a non-stick frying pan on high heat, fry 30 g of butter and fry the mushrooms until golden brown. Just 2-3 minutes. Season with salt and pepper and add them to the mushrooms after about 30 minutes of stewing. Pour in the rest of the broth, cover with a lid and simmer over very low heat until tender. Salt and pepper the meat slices and dust both sides with flour., The length of time for which you want to simmer the sprats depends on the type, quality and age of the meat. For example, you will stew the roasts from a bull for a shorter time than the roasts from a cow. The meat from a bull or heifer is also tastier.

Sauté fresh mushrooms in a larger pan, so they don't release water and start to stew.

By the time you add the cold butter to the sauce, the sauce must no longer be boiling.

It's a good idea to cut the butter into smaller cubes - gradually stir them into the sauce.
Butter"
21,Chicken on paprika,"Garlic, Lemon, Caterpillar dumplings, Sliced onion, Chicken breast without skin, Chicken broth, Butter, Black pepper, Tomato puree, Vegetable oil, Rice, Sweet paprika, Bacon, Whipping cream (min. 31%), Salt, Pasta, Wine suitable for poultry meat, Jerky","Return the meat to the casserole, pour in half the stock and stir with a flat spoon from the bottom to cook the drippings back into the liquid. Pour in the rest of the stock and bring to the boil. Reduce the heat to half and bring the liquid to a simmer at half volume, You can add 1 teaspoon of smoked paprika and a pinch of hot paprika to the sauce.

Always add the ground paprika to the rendered fat.

Serve with pasta cakes, rice or dumplings. Coarsely chop the onion and garlic. Cut the bacon into 1 cm wide fries, add the onion and garlic and sauté until light golden. Add the tomato paste and sauté for 1 minute. Add the sweet paprika, stir and sauté for 20 seconds., Pour in the cream, bring to the boil, add the cress and stir well. Cook on medium heat for 4 minutes. Add lemon juice, stir, remove from heat and season with salt and pepper to taste."
22,Roast duck with red cabbage and potato dumplings,"Potato starch, Boiling potatoes type B or C, Red cabbage, Onion, Semolina sugar, Smooth flour, Coarse flour, Duck, Whole cumin, Vinegar, Lard, Salt, Eggs, Suitable beer","Finely chop the onion. Heat 60 g of lard in a saucepan over high heat, add the onion and let it foam. Add the caraway seeds and fry the onions, stirring frequently, until light golden in colour. Add the cabbage, stir and pull it to one side so that the bottom of the casserole is partially visible. Sprinkle the sugar on top and stir briefly in the fat. Once the sugar starts to turn golden, mix it thoroughly with the cabbage. Add the salt, pour in the vinegar and mix thoroughly. Cover with a lid, turn the heat down to low and simmer until the cabbage is tender. During the stewing, stir the cabbage occasionally and cover with the lid again. Prick only the skin at the beginning of the roasting process to allow the excess fat to drain out.

Do you know how to tell when the duck is cooked? When you pick it up by the thigh bone, it should turn slightly.

You can put the rendered duck fat in a"
23,Potato pancakes,"Potatoes type B, Celery, Freshly crushed pepper, Garlic, Onion, Crushed cumin, Smooth flour, Butter, Carrots, Parsley, Flat leaf parsley, Salt, Dried marjoram, Dried mushrooms","Cut the onion, root vegetables and potatoes into 1 cm cubes. Peel and finely chop the garlic. Soak the dried mushrooms in water to soften them., Salt and pepper the finished soup to taste and add the chopped parsley. It caramelizes faster than root vegetables. If you sautéed it with the vegetables at the beginning, it would burn.

In season, of course, use fresh mushrooms. 300 g of a mixture of cleaned and chopped mushrooms will do. Cut them into larger pieces and sauté them in a hot pan on a higher heat until golden just after the vegetables. Only then add the onions and proceed.

Once you have dusted the vegetables with flour, be sure to turn the heat down to a third and stir with the stock thus prepared. Don't worry about any drippings forming at the bottom of the pot. As soon as you add the water, the liquor will gradually dissolve. Be careful not to blacken the liquor,"
24,Potato dumplings round,"Potato starch, Potatoes boiling type B or C, Coarse flour, Lard, Salt, Eggs","In a larger pot, boil well-salted water for dumplings.On a floured table or a rolling pin, shape the dough into round dumplings with a diameter of 5 cm and immediately place them in the salted boiling water. Cook for 6 -7 minutes. Remove the finished dumplings from the water with a perforated ladle and place them on a baking tray with warmed lard, in which they are coated so that they do not turn brown. Therefore, add the flour gradually to obtain the ideal consistency. Potato dough tends to thin out, so you must work quickly.

Heat the cold dumplings in a saucepan with a little water, bring it to the boil, put the steamer with the dumplings in it and cover the saucepan with a lid.

You can leave the dumplings to cool and freeze if necessary.

For this dish, you need boiling type C potatoes. The final quantity of 1 kg is the amount of potatoes cooked, peeled and cooled in the skin.

Before you start making the potato dough, the potatoes must be"
25,Potato salad,"Potatoes, cooking type A, Celery, Sliced onions, Mayonnaise, Carrots, Pickles, Black pepper , Parsley, Full fat mustard, Salt, Eggs","As soon as a fork or kitchen needle can be stuck into the potatoes without resistance, the potatoes are soft.

Do not boil the potatoes for the salad, otherwise they will fall apart in the salad. The same applies to root vegetables.

The ideal salad potatoes are 'bush rolls'.

You can also add a small peeled and finely grated apple to the salad.

Instead of cucumber liqueur, you can flavour the salad with lemon juice. Add mayonnaise, mustard, 2 teaspoons salt, 1 teaspoon freshly ground pepper and mix. Pour in 2 tablespoons of cucumber liqueur and stir. Carefully stir in the chopped eggs. Season with salt and refrigerate for at least 4 hours (preferably overnight), cut the cooked vegetables into 1 cm cubes and place in a large bowl. Chop the onion finely and add to a large bowl."
26,Bryndzové gnocchi,"Potatoes type B, Bryndza, Onions, Milk, Semi-coarse flour, Lard, Bacon, Whipping cream (min. 31%), Salt, Eggs, Suitable beer, Sour cream","Finely grate the potatoes. Put them in a bowl and squeeze out the water. Add the flour, eggs and salt and knead the dough. In a large saucepan, bring a large amount of water to the boil., Spread some of the gnocchi dough on a wet chopping board, place it on the edge of the pot of boiling water and use a paring knife to cut off (chop) the gnocchi over the edge of the board. Once they float to the surface, wait 20 seconds and use a flat strainer to remove them and place them in a bowl. Do not cook the gnocchi all at once, but roughly in thirds, so that part of it is not overcooked and part undercooked. Cut the bacon into 1 cm cubes., Cover each batch in the bowl with some of the crumbled bryndza, which will melt on them. Pour the hot topping of cream, milk, onion and bacon over the last layer. Stir lightly. On the plate, season with a spoonful of sour cream. If you have only new potatoes, add 2 tablespoons of starch to the batter."
27,Red cabbage,"Red cabbage, Onion, Semolina sugar, Whole cumin, Vinegar, Lard, Salt","If you are preparing red cabbage with duck, use an equal amount of duck fat instead of pork fat in this dish. Just collect it during the roasting of the duck., Finely chop the onion. Heat 60 g of lard in a saucepan over a high heat, add the onion and let it foam. Add the caraway seeds and fry the onions, stirring frequently, until light golden in colour. Add the cabbage, stir and pull it to one side so that the bottom of the casserole is partially visible. Sprinkle the sugar on top and stir briefly in the fat. Once the sugar starts to turn golden, mix it thoroughly with the cabbage. Add the salt, pour in the vinegar and mix thoroughly. Cover with a lid, turn the heat down to low and simmer until the cabbage is tender. Once the cabbage is soft, remove the lid, increase the heat and stir the cabbage for a further 3 minutes. Remove from the heat and stir in the remaining lard,"
28,Chocolate cake with apples,"Coarse flour, Apple, Cocoa, Coffee suitable for this dish, Butter, Milk, Caster sugar, Semi-coarse flour, Baking powder, Eggs","Let the finished bun cool in the tin for 5 minutes, then turn out onto a wire rack and let cool completely.Serve with whipped cream.

You can tell when the dough is baked by sticking a skewer into the centre of the bun and pulling it out, it will stay dry. If there is raw dough on the skewer when you pull it out, bake for a while., Pour the dough into the tin, place in the preheated oven and bake for 20 minutes., Preheat the oven to 175 °C. Grease the tin with butter and dust with flour., Place all the ingredients except the apples in the bowl of a food processor and mix on medium speed for 3 minutes. Add the apples, reduce the speed and mix for 1 minute., Cut the cores out of the apples and cut the apples into 1 cm cubes."
29,Ducati buns with vanilla cream,"Fresh yeast, Caster sugar, Flour, Butter, Milk, Lard, Whipping cream (min. 31%), Salt, Domestic rum, Vanilla pod, Egg, Egg yolk","Crumble the yeast into a bowl, add 1 teaspoon of sugar, 2 tablespoons of lukewarm milk and leave at room temperature for 10 minutes to form a sourdough starter. Make a smooth dough, dust with flour and leave to rise in a warm place for 1 hour until the dough has at least doubled in volume. The cream will thicken as it cools - stir it a few times to keep it smooth., Place the balls side by side in a greased baking dish. Brush each one with melted lard on all sides. Place the baking dish in a preheated oven and bake for 20 minutes until golden brown., The dough for the buns needs to be worked through really thoroughly - you have to use a rolling pin to sort of puff it up to get the air in. After a while, the dough starts to peel away from the sides of the bowl. The dough is ready to"
30,Guacamole,"Avocado, Freshly Crushed Pepper, Fresh Coriander, Red Chilli Pepper, Garlic, Cherry Tomatoes, Lime, Nachos, Olive Oil, Salt, Sour Cream","You can mash the avocado with a fork the whole amount. The guacamole will have a softer texture.

You can add a teaspoon of Dijon mustard to the guacamole.
 
Serve with nachos, cut the avocado in half and remove the pit. Spoon out the flesh from the skin and cut into small cubes. Put them in a bowl and mash half of them with a fork, add oil, sour cream, lime juice, garlic, chilli and coriander. Finally, stir in the chopped tomatoes. Season with salt and pepper to taste, stir and chill in the fridge for a while. Finely chop the flesh. Crush or finely chop the garlic. Cut open the chilli pepper, remove the seeds and chop finely."
31,Goulash soup,"Potatoes type A, B, C, Garlic, Onion, Crushed cumin, Smooth flour, Beef neck or shoulder meat, Beef broth, Black pepper , Fat, Sweet paprika, Salt, Dried marjoram","Cut the potatoes into 1 cm cubes and add them to the soup together with the dried marjoram. Cook the soup over a low heat for 15 minutes or until the potatoes are soft.
Stir the soup occasionally to prevent it from sticking. Once the liquid has boiled off and only fat remains in the bottom of the saucepan, add the flour, reduce the heat to a third and stir fry for 2 minutes. Add the garlic and paprika, stir thoroughly and pour in the broth. Finely chop the onion and garlic. Heat the lard in a saucepan over a medium heat and fry the onion in it, stirring frequently, until golden brown. Add the cumin and meat, stir and sauté until all the juices that the meat has released have evaporated. Stir frequently, mix, season with salt and pepper and bring to the boil. Turn the heat back down to one-third and simmer over low heat for 20 minutes."
32,Hummus,"Freshly crushed pepper, Garlic, Lemon juice, Canned chickpeas, Nachos, Virgin olive oil, Ground cumin, Sweet paprika, Salt, Tahini","Drain the chickpeas and put them in a blender. Add lemon juice, garlic, cumin, paprika and tahini
and blend until smooth. Then gradually add 3 tablespoons of oil while blending. Season with salt and pepper., Drizzle the hummus in a bowl or on a plate with the remaining olive oil., You can add an extra teaspoon of tahini.

Serve with nachos, grissini or salty crackers."
33,Fluffy dumplings,"Potato starch, Potatoes type A, B, C, Coarse flour, Butter, Salt, Eggs","Put more water in the pot to boil. Salt the water., Prepare dumplings from potatoes boiling type B or C.

Cook dumplings in melted lard or butter, do not peel so., Cook dumplings for 6-7 minutes. When they are done, they will float to the surface. Remove them to a bowl with melted lard or butter, to taste, and mix., Using a soup spoon, form dumplings in the palm of your wet palm into larger dumplings, which you place in salted boiling water., Peel the boiled potatoes, grate coarsely and place in a bowl. Peel the raw potatoes, grate finely and add to the boiled potatoes. Add 1 teaspoon salt, the egg, coarse flour and starch. Mix a thicker dough."
34,Apple strudel,"Semolina sugar, Plain flour, Apple, Coffee suitable for this dish, Butter, Caster sugar, Vegetable oil, Raisins marinated in groundnuts, Ground cinnamon, Breadcrumbs, Salt, Eggs, Walnuts","To make the dough as thin as possible, pull it out by hand. Transfer the dough to a clean cloth dusted with flour and, with the backs of the hands placed under the dough, pull it out in all directions with careful movements, When the sheet is perfectly thin, cut off the thicker edges, sprinkle it with breadcrumbs, evenly cover with grated apples, sprinkle with cinnamon mixed with sugar, sieved raisins and walnuts. Make a well in the middle, crack an egg into it, pour in the oil and a little warm water and season with salt. Slowly work the flour towards the well and gradually work into a smooth, medium-stiff dough. If it is too stiff, add water, if too thin, add flour. Work the dough until it is smooth and shiny and no longer sticky. Then shape into a loaf, wrap in cling film and leave to rest in the fridge for 30 minutes. Roll out each dough"
35,Meatballs,"Potatoes type A, B, C, Fresh marjoram, Freshly crushed pepper, Garlic, Onion, Beef neck or shoulder, Milk, Ground beef, Ground pork, Rolls, Lard, Breadcrumbs, Salt, Whole or sliced pork neck, Suitable beer","Peel and crush the garlic, finely chop the onion and marjoram. Grind the well chilled pork and beef together and place in a bowl. Add 1 teaspoon of salt, half a teaspoon of freshly ground pepper, garlic, onion, marjoram and finally a soaked roll with milk. The meatballs will then be juicier and will not crumble.

The meat dough must remain very cold throughout the cooking time. Milk too. This is the only way to achieve juicy meatballs. Even the meat you are grinding must be thoroughly chilled.

Use whole milk, it has a better taste.

If you only have dried marjoram, use one tablespoon. With wet hands, shape the dough into meatballs and coat them in breadcrumbs, which you gently press into the meat with your palms. Leave to rest briefly."
36,Kohlrabi soup,"Freshly ground pepper, Onion, Flour, Onion, Onion, Chicken or vegetable stock, Butter, Nutmeg, Flat-leaf parsley, Whipping cream (min. 31%), Salt","Grate the kohlrabi coarsely. Finely chop the onion, use fresh kohlrabi, old ones are woody.

Do not let the onions brown when roasting. The soup will change the taste.

Chicken stock is best for making this soup, but you can also make a vegetarian version this way using vegetable stock.

The soup can also be prepared without cream, but then you need 1.2 litres of stock.

Finally, you can also blend the soup to a creamy consistency.

You can serve the soup with toasted white bread croutons, add the cream, stir, bring to the boil and remove from the heat after half a minute. Season with salt as needed. Sprinkle with chopped flat-leaf parsley., In a saucepan over high heat, heat the butter, add the onion and let it foam. Add the grated kohlrabi and sauté for 3 minutes, stirring frequently.
Add the flour, reduce the heat to below half and sauté for 1 minute, stirring constantly."
37,Creamy chicken soup,"Potatoes type A, B, C, Whole chicken, Freshly crushed pepper, Garlic, Onion, Zucchini, Plain flour, Chicken broth, Butter, Carrots, Chives, Flat-leaf parsley, Transfused butter, Whipping cream (min. 31%), Salt, Fresh and dried thyme","Finely chop the onion and garlic. In a saucepan over medium heat, melt the butter, add the onion and garlic and let them brown. If you do not have cooked chicken meat, you can boil 1-2 chicken breasts in the broth. Then use 1.1 litres of chicken stock in the recipe and, as a first step, cook the meat in the stock until tender. Season with 2 teaspoons salt (or to taste), a pinch of pepper and stir., Add the plain flour and stir-fry for 30 seconds. Pour in the stock, stir, bring to the boil, reduce the heat to a third and cook uncovered for 15 minutes. Stir occasionally to prevent a bubble from forming at the bottom. Pour in the cream, bring to the boil, stir, reduce the heat to a third and cook for a further 5 m"
38,Semolina porridge,"Sugar semolina, Children's semolina, Coffee suitable for this dish, Butter, Milk, Ground cinnamon, Salt","Pour the milk into a saucepan, add a pinch of salt, the baby semolina and bring to the boil over a low heat, stirring constantly. Stir the porridge all the time so that it does not form lumps that you can never get rid of.

You don't need to heat the butter to flavour the porridge beforehand, it melts beautifully in the hot porridge on its own.

You can also sprinkle the semolina porridge with cocoa and flavour it with apricot compote, for example."
39,Chicken with tomatoes and olives,"Whole chicken, Black olives without stone, Freshly crushed pepper, Fresh oregano, Fresh thyme, Garlic, Onion, Semolina sugar, Chicken broth, Butter, Olive oil, Tomatoes, Tomato puree, Rice, Dry white wine, Salt, Pasta, Wine suitable for poultry meat, Fresh whole and sliced mushrooms","Put the roasted meat back into the casserole, skin side up, and place in the preheated oven for 50 minutes.
Take the casserole out of the oven, remove the meat and set it aside. Stir in the oregano, thyme, cooled butter and season with salt if necessary, Cut the chicken into individual parts - cut off the thighs and cut them into 2 parts at the joint. Cut off the wings and separate the squirrels. Cut the breasts and divide them into 2 equal parts. Thoroughly salt and pepper the meat on all sides. Use the chicken carcass and the squirrels to make stock for another dish, Instead of fresh oregano, you can use an aligned teaspoon of dried oregano. In this case, add the dried oregano to the casserole already with the wine, Set the roasted meat aside and add the onion to the casserole. Sauté, stirring frequently, for 1 minute.
Add the mushrooms and sauté for 1 minute. Add the garlic and sauté, stirring frequently, for 1 minute. Add the purée and sugar and stir again."
40,Chicken liver on onion,"English bacon, Potatoes type A, B, C, Freshly crushed pepper, Onion, Smooth flour, Chicken liver, Chicken broth, Butter, Flat leaf parsley, Rice, Lard, Salt, Pasta, Suitable beer","You can also season the liver with cumin - add a teaspoon of cumin right away with the onion.

You can improve the taste of the dish by adding 100 ml of cognac. Add it before the broth and let the alcohol boil off for a while, leaving only the strong taste of cognac.

The liver can also make a great liver spread. Add 2 tablespoons of lard after the onions, sauté the liver for a while, do not add the broth, season with salt and pepper, mash the liver lightly with a fork, let it cool and store in a bowl in the fridge.

It tastes great with steamed rice., Put the liver back into the saucepan, increase the heat to high, stir everything, pour the broth and let it cook for 5 minutes or until the liquid boils down to half the volume., Cut the bacon into cubes with an edge of 1 cm. Finely chop the onion. Clean the liver, remove the membranes, dry carefully on kitchen paper and roll in flour. Remove from the heat and stir in the cold butter, which is used to make the sauce."
41,Chicken curry soup with peas,"Smooth flour, Curry spices, Canned peas, Chicken meat , Chicken broth, Butter, Rolls, Whipping cream (min. 31%), Salt","Cut the chicken meat into cubes with an edge of 1.5 cm., It is best if you use the meat defended from the bones of the chicken parts from which the broth was cooked., Serve with croutons, Add the drained peas, season with salt to taste and let boil for 1 minute., Pour in the stock, stir thoroughly, bring to the boil, reduce the heat to below a third and simmer, stirring occasionally, for 12 minutes. Add the cream and the chopped meat and cook for a further 3 minutes., Cut the croutons into 1 cm cubes, place them in a baking dish, add the butter and place the baking dish in a preheated oven for 12 minutes until the croutons are golden brown. Stir occasionally, Heat the oven to 180 °C., Heat the butter in a saucepan over low heat. Add the flour and cook, stirring constantly, for 2 minutes. Add the curry powder and stir for 1 minute."
