id,name,ingredients,steps
42,Cauliflower soup,"White pepper, Onion, Smooth flour, Cauliflower, Butter, Ground nutmeg, Chives, Whipping cream (min. 31%), Salt","Bring 1.1 litres of water to the boil in a saucepan and season with a teaspoon of salt. Put the chopped cauliflower into the boiling water and cook until almost tender (to the bite). Then transfer it through a flat sieve into a bowl and set aside. Strain the water in which the cauliflower has been boiled through a fine sieve into a clean container., Finely chop a few stems of chives into the finished soup., The cauliflower florets (the third of which you will use as an insert in the soup) should be cooked in the water just to the bite. They must not be overcooked. They would end up tasting like mud in the soup.

Be careful that the flour does not brown during roasting - the cauliflower soup must remain white.

A nutmeg rather than a flower will give a more pronounced flavour to the muscatel, but beware, just a small pinch at the end is enough.

Cold butter stirred gradually into the finished soup serves to soften it. While adding the cold butter at the end of the cooking time, do not boil the soup any more, Set aside one third of the cooked cauliflower florets and add the rest to the"
43,Macaroni and cheese,"Garlic, Cheddar block, Cheddar Extra Mature, Lemon, Plain flour, Macaroni, Butter, Ground nutmeg, Olive oil, Black pepper , Whole milk, Flat leaf parsley, Breadcrumbs, Salt, Wine suitable for pasta","Mix two thirds of the béchamel in a bowl with the cooked pasta, pour into a greased baking dish, pour in the remaining béchamel and place in a preheated oven. Remove the bowl from the oven and reduce the temperature to 200 °C. Sprinkle the pasta with the remaining cheese and seasoned breadcrumbs, return to the oven and bake for 8-10 minutes until golden brown., Mix the breadcrumbs with the lemon zest, a pinch of salt and pepper and finely chopped parsley. Coarsely grate both cheeses and mix together., Cook the pasta in a large amount of water to bite, drain and set aside in a large bowl., Heat the oven to 250 °C., Do not rinse the cooked pasta with water. They will lose their flavour. Just toss them with a tablespoon of oil after cooking.

The pasta water must be salted. As a general rule of thumb, 1 litre of water = 12 g of table salt (an aligned tablespoon of salt), or 10 g of coarse sea salt. Boil 500 g of dry pasta in at least 3 litres of boiling salted water."
44,Cucumber salad,"Freshly cracked pepper, Fresh dill, Lemon juice, Crushed sugar, Salad cucumber, Whipping cream (min. 31%), Salt, Wine vinegar, Wine suitable for salads, Sour cream","You can grate the cucumber on a coarse grater.

You can serve the salad immediately or leave it to cool in the fridge. Then you need to mix it before serving., Wash, dry and cut the cucumber into thin halves or rounds., Garnish the salad with a sprig of fresh dill., In a bowl, mix the sour cream with a whisk, add sugar, a pinch of salt and a pinch of freshly ground pepper, vinegar and lemon juice. Finally, stir in the chopped dill. Add the cucumber and mix."
45,Pancakes,"Plain flour, Coffee suitable for this dish, Marmalade, Butter, Milk, Caster sugar, Oil or clarified butter, Salt, Eggs","Fold the finished pancakes onto a plate, spread with jam, roll into a roll and sprinkle with icing sugar.Brush a non-stick pan with oil or butter and place on the stove over a medium heat. Using a ladle, pour in some of the dough and use the pan in a circular motion to spread it over the entire surface of the pan. Fry the pancakes on both sides until golden brown. The fat will be evenly distributed everywhere and the pancakes will fry well.

If you have not put enough oil and the pancake sticks, go around the sides of the frying pan with a feather or grease gun. The oil will run evenly under the batter to the center and the pancakes will still not be greasy.

It is best to use a special pancake pan. It has a non-stick surface and low beveled edges so the pancakes do not stick and are very easy to flip. Leave to rest for at least an hour."
47,Roast chicken,"Potatoes type A, B, C, Whole chicken, Butter, Rice, Sweet paprika, Salt, Pasta, Wine suitable for poultry meat","You can insert sprigs of thyme or rosemary and bay leaves into the chicken's belly cavity.

You can add thyme, rosemary, peeled onion, peeled garlic or a few slices of bacon to the roasting pan to taste.

You can add a teaspoon of garlic powder or a tablespoon of milk powder to the salt and pepper mixture, which will make the skin even crispier after baking.

You can replace the paprika with curry spices.

Do not open the oven too often during baking, as this will increase the overall baking time. Pour the water into the roasting pan up to 1 cm. Place the prepared chicken on a rack in the preheated oven and place the baking dish with water underneath it. Mix the remaining salt with the paprika."
48,Parsley potatoes,"Potatoes type A, B, C, Butter, Flat-leaved parsley, Salt","Cut the potatoes into equal pieces and boil them in salted water for 15-20 minutes until tender. Drain., Let the butter melt on low heat. Pour the hot butter on the potatoes, add the chopped parsley, add salt and mix everything together."
49,Buckwheat bun with nuts,"Smooth buckwheat flour, Coarse flour, Cocoa, Coffee suitable for this dish, Butter, Caster sugar, Vanilla sugar, Eggs, Walnuts","Let the finished bun cool in the tin for 5 minutes, then turn out onto a wire rack and let cool completely., Finely chop the nuts. Separate the eggs into yolks and whites. Beat the egg whites into stiff snow. In a bowl, mix the egg yolks and the remaining ingredients into a loose mixture. Then gently stir in the snow., Heat the oven to 180 °C. Grease the tin with butter and dust with flour., Pour the resulting batter into the prepared tin, place in the preheated oven and bake for 20 minutes."
50,Trout miller-style,"Potatoes type A, B, C, Freshly cracked pepper, Bread, Flour, Caraway seeds, Ground cumin, Butter, Baking paper, Transfused butter, Trout, Rice, Salt, Salt","In a non-stick frying pan over medium heat, heat the butter, put the fish on it and fry it for 2 minutes on each side until golden brown. Wash it under cold running water and dry it thoroughly. Salt and pepper the fish with freshly ground pepper on all sides and inside. Then coat it in plain flour. Fold in the excess flour. Put the sage inside the fish and sprinkle the fish with cumin. Bake for 5 minutes."
51,Spanish bird,"Potatoes type A, B, C, Freshly crushed pepper, Onion, Whole Gothai sausage or good quality sausage, Smooth flour, Mushroom dumplings, Beef broth, Kitchen string, Pickles, Whole mustard, Rice, Lard, Fat, Bacon, Salt, Eggs","Remove the finished birds, remove the string and transfer them to a bowl. Season the juice with salt and pepper and strain it through a colander over the birds, You do not need to strain the sauce. You can leave it with a natural texture. You can also blend it finely with a stick blender and strain it through a fine sieve. You can also soften it with a little cream.

Pat the meat through a microtene or other plastic bag, this way you won't tear the meat.

Serve with bread dumplings or steamed rice.
Brush each slice on one side with 1 tablespoon mustard. Place a slice of bacon, a slice of gothaje or sausage, half an egg, half a cucumber and a quarter of an onion on this side. Tightly wrap, tighten and tie with kitchen string, add flour and stir for 1 minute. Add the remaining mustard and stir. Add the cucumber liqueur and stir. Pour in the broth and stir."
52,Spinach,"Freshly crushed pepper, Fresh spinach leaves, Garlic, Onion, Lard, Breadcrumbs, Salt, Eggs","Season with salt and freshly ground pepper and stir., Remove the spinach leaves from the roots and stems, wash thoroughly several times in cold water and drain. Finely chop the onion. Peel the garlic and chop finely., Add the spinach, mix thoroughly and cover with a lid for 1 minute. Uncover, stir and let cook for another 1 minute. Then roughly mix the spinach. Add the egg and breadcrumbs, stir and leave to reheat for 1 minute, It is best to soak the spinach in a taller bowl of cold water to wash away any dirt or grains of sand that sink to the bottom. The water should be changed several times.

Cook spinach briefly, as long cooking will cause it to turn grey.

The spinach can be chopped with a knife on a chopping board or blended, but it should not turn to mush.

If you are not going to serve the spinach straight away, add a little cream to it, it will stay beautifully green. 80 ml of cream is enough for the above amount ("
53,Veal on paprika,"Bay leaf, Potatoes type A, B, C, Black pepper whole, Freshly crushed pepper, Onion, Smooth flour, Mushroom dumplings, Chicken broth, Butter, Allspice whole, Tomato paste, Rice, Sweet paprika, Whipping cream (min. 31%), Salt, Veal shoulder or leg, Pasta, Suitable beer","Finely chop the onion. Cut the meat into 2 cm cubes. Bring 2,5 litres of water to the boil in a pot and boil the diced meat in it for 2 minutes. Once the meat is almost tender, stir in the cold stock, add the broth so that the sauce is not too thick, and leave to simmer for 15 minutes. Remove the soft meat from the sauce and put it in a clean casserole. Remove the spices from the sauce and discard.
Add the cream to the sauce, bring to the boil, reduce the heat to a third and simmer for 1 minute. Then blend with a stick blender., This dish is suitable for speck, wide noodles or steamed rice., Strain the sauce into the meat casserole and reheat briefly. If necessary, you can dilute the sauce with stock, or season with salt or pepper., In a saucepan over medium heat, melt the remaining butter, add the onion and let it brown. Stir occasionally. Add the sweet paprika and tomato p"
54,Cheesecake,"Lemon zest, Caster sugar, Plain flour, Coffee suitable for this dish, Butter, Caster sugar, Baking paper, Whole milk soft curd, Whipping cream (min. 31%), Vanilla sugar, Vanilla pudding powder, Eggs","Grate only the yellow part of the lemon peel. The white is bitter. Beat the cream until stiff. Mix all the other ingredients for the filling in a bowl and then gradually work the whipped cream into them by hand using a spatula. Pour the filling evenly into the pastry case., Heat the oven to 180 °C., Place in the preheated oven and bake for 45 minutes. The surface of the pastry should brown and spring back when pressed with your fingers. Leave to cool and serve dusted with icing sugar., Place all the ingredients for the pastry in the bowl of a food processor and process with the K attachment to a stiffer mass. Line a cake tin with baking paper and press the dough evenly into the tin with your fingers. Set aside."
55,Pork in carrots,"Potatoes type A, B, C, Freshly crushed pepper, Onion, Lemon juice, Semolina sugar, Flour, Chicken broth, Butter, Carrots, Ground nutmeg, Rice, Salt, Pork shoulder (whole or cubed), Wine suitable for pork","In addition to the lemon juice, you can flavour the dish with a pinch of grated lemon zest or a teaspoon of vinegar.

Instead of the shoulder you can also use the beef neck, but you must extend the cooking time by at least 45 minutes.Cut the meat into cubes with an edge of 3 cm. Finely chop the onion. Add the flour and stir for 1 minute. Add 500 ml of stock, stir and add 1 level teaspoon of salt, 2 pinches of freshly ground pepper and nutmeg. Bring to the boil, cover with a lid, reduce the heat to a third and simmer for 35 minutes, add the carrots and remaining stock and simmer for a further 20 minutes or until the meat and carrots are tender. Stir in the sugar and lemon juice, season with salt and pepper if necessary.
Remove from the heat and stir in the rest of the chilled butter cut into cubes., In a saucepan over medium heat, melt 90g butter, add the onion and fry until golden brown, stirring frequently. Add the meat and sauté,"
56,Pork meatball with feta cheese,"Potatoes type A, B, C, Fresh dill, Garlic, Onion, Lemon peel, Lemon juice, Spring onion, Mint, Minced pork shoulder, Olive oil, Black pepper , Vegetable oil, Cucumber, Breadcrumbs, Salt, Feta cheese, Suitable beer, Green chilli pepper, Green olives without stones","Finely chop the garlic and onion, finely chop the spring onion. Cut the chili pepper lengthwise, remove the seeds and finely chop the flesh. Finely chop the olives., Mix all the ingredients except the cheese together in a bowl and place in the fridge for 20 minutes. Then divide the seasoned meat into 8 parts and shape each into a pancake, Spread the crumbled cheese over 4 of the pancakes and cover with the remaining pancakes. Press the edges together and shape the meat into a meatball., Peel the cucumber, cut lengthwise and scrape out the seeds with a spoon and discard. Cut the flesh into 0.5cm cubes., The olives, spring onions, chilli, a tablespoon of lemon juice, olive oil and a pinch of salt and pepper can be coarsely blended with a stick blender and then mixed with the chopped cucumber, dill and lemon zest. Salsa is then seasoned with a few drops of lemon juice or salt.

Depending on taste, you can use less chilli or omit it., Cheese r"
57,French onion roll,"Baguette, Bay leaf, Freshly cracked pepper, Onion, Plain flour, Beef broth, Butter, Flat-leaf parsley, Leek, Dry white wine, Salt, Comté or Gruyère cheese, Fresh or dried thyme","Cut the baguette into slices 6 mm thick and spread them on a baking sheet. Place in a preheated oven and bake for 5 - 7 minutes until golden brown. Remove from the oven and set aside to cool., Cut the onions in half lengthwise and cut into thin noodles., Place 2 slices of toasted baguette in each bowl. Place a slice of cheese on top to cover the surface and sprinkle generously with grated cheese., Pour the hot soup into the baking dishes., It is important to cut the onions into equal pieces. Otherwise, the weaker pieces will start to burn and turn bitter during sautéing and the larger pieces of onion will not color in time.

The onions must be carefully slow-roasted in the base. The whole process from the insertion of the onion to the final browning takes approximately 45 minutes. This process cannot be rushed. This is the only way to create a strong soup base. If you do not let the onions brown sufficiently, the soup will be bland.

Should the onions stick to the bottom of the casserole during sautéing, simply casserole"
58,Hammered schnitzel and parsley potatoes,"Potatoes type A, B, C, Freshly crushed pepper, Lemon, Butter, Flat-leaved parsley, Lard, Breadcrumbs, Salt, Eggs, Whole and sliced pork neck, Suitable beer","Cut the potatoes into equal pieces and boil them in salted water for 15-20 minutes until tender. Drain. Let the butter melt on low heat. Pour the hot butter over the potatoes, add the chopped parsley, salt and mix everything together. Sprinkle the top of the meat with breadcrumbs and lightly press the breadcrumbs into the meat with your palms.
Cover the slice with cling film and lightly press the breadcrumbs into it with a mallet. Turn the meat over and repeat the process. In the same way, wrap the remaining slices of meat., Pepper the slices of meat and salt them thoroughly on both sides., Serve with parsley potatoes and a slice of lemon., Coat the steak with the breadcrumbs in beaten eggs and immediately place in hot lard. Turn the heat down to one third and slowly fry the steaks for 3 minutes on each side. Place the finished steaks on a plate lined with kitchen paper and drain off the excess fat."
59,Tomato sauce with beef,"Bay leaves, Celery, Black pepper whole, Garlic, Onion, Semolina sugar, Plain flour, Mushroom dumplings, Beef shoulder, Beef stock, Butter, Carrots, New spices whole, Vinegar, Parsley, Tomato paste, Lard, Salt, Pasta, Suitable beer","Chilled butter at the end softens and ""polishes"" the sauce, as the cooks say.

The sauce can also be served with steamed rice or pasta.

You can soften the sauce with a spoonful of sour cream.

You can also cook tomato sauce from fresh tomatoes, but it will not have such a beautiful red colour, which is so typical for Czech tomato sauce. Heat the lard in a saucepan over medium heat and fry the onions until golden brown. Once the foam stops forming, add the spices, salt and cook slowly uncovered until soft, approximately 3 hours. Slice the meat and serve with the sauce., Strain the sauce through a fine sieve into a clean pot or casserole., Season the sauce with sugar and salt if necessary. Remove from the heat and stir in on the bones"
60,Pasta with Bolognese ragout,"Bay leaf, Celery, Whole black pepper, Freshly cracked pepper, Dry red wine, Garlic, Diced onion, Kitchen twine, Ground beef, Ground pork, Carrots, Ground nutmeg, New spices, Whole olive oil, Whole parmesan cheese, Parmesan cheese, Tomato paste, Celery stalk, Bacon, Salt, Tagliatelle, Wine suitable for pasta","Finely chop the onion and garlic. Cut the carrots and celery into cubes of 0,5 cm., While the pasta is cooking, heat the bolognese ragout in a pan over a low heat., Season the plate with grated Parmesan., On a higher heat in a saucepan, bring 3 litres of water to the boil with 3 level tablespoons of salt. Once it starts to boil, put in the pasta and cook it according to the instructions on the bite., Add the onion and fry it until golden brown, stirring frequently. Add the meat and garlic. Mix everything thoroughly and season with salt. Turn the heat down to one-third and cook for 10 minutes, stirring frequently. Cook for 15 minutes, stirring frequently., Add the spice bag and freshly ground pepper. Pour in the wine, stir and cook, stirring occasionally, for 20 minutes., Pour in 100 ml of water, reduce the heat to low, add the nutmeg, stir and cover with a lid. Leave to simmer for 3 hours, stirring occasionally."
61,Pork sparrow,"Potato starch, Potatoes type A, B, C, Freshly crushed pepper, Fresh spinach leaves, Garlic, Onion, Crushed cumin, Smooth flour, Coarse flour, Butter or lard, Lard, Breadcrumbs, Salt, Eggs, Pork shoulder (whole or cubed), Suitable beer","Finely chop the onion. Peel and crush the garlic. Cut the meat into 4 cm cubes, salt and pepper thoroughly, rub all sides with the crushed garlic and sprinkle with freshly crushed cumin. Spread the onion on the bottom of the baking dish and place the meat on top. Season the water with salt and freshly ground pepper and stir., Cook the dumplings for 6-7 minutes. When they are done, they float to the surface. Remove them to a bowl with melted lard or butter, according to taste, and mix., Remove the spinach leaves from the roots and stems, wash thoroughly several times in cold water and drain. Finely chop the onion. Peel the garlic and also chop finely., Choose the meat baking dish so that you can put it on the stove - you will finish the broth in it.

When roasting the meat stock, use a flat spoon to stir it to remove the browned fat from the bottom.

Spinach is best"
62,Cherry crumble,"Semolina sugar, Dark chocolate, Coarse flour, Coffee suitable for this dish, Almond slices, Butter, Caster sugar, Frosted cherries, Biscuits, Ground cinnamon, Plum, Brown cane sugar","Sprinkle the finished dessert with icing sugar., Let the cherries thaw. Heat the oven to 220º C. Finely chop the chocolate, then reduce the heat to a third, stir in the chocolate and almonds. Once the chocolate has melted, add the crushed biscuits, and the plum brandy. Stir everything thoroughly and remove from the heat. Fill the baking dishes two-thirds of the way up.In a saucepan over medium heat, let the butter foam, add the cherries, cinnamon and sugar and cook, stirring frequently, for 4 minutes.

In a bowl, combine the butter, sugar and flour and work the crumble thoroughly with your hands. Sprinkle the crumble mixture over the cherry mixture in the baking dishes up to the rim. Place the bowls on a baking sheet and bake in the preheated oven for 5 minutes.
, In season you can use fresh pitted cherries, or harder pears and apples, or perhaps rhubarb. You can also use cherry compote. But then add less sugar to the mixture.

This dessert can be served hot or"
63,Pork chops on sweet and sour,"Balsamic vinegar, Potatoes type A, B, C, Freshly crushed pepper, Garlic, Chilli powder, Bread, Ketchup, Honey, Orange peel, Orange juice, Vegetable oil, Fresh rosemary, Rice, Salt, Thyme fresh and dried, Pork chop with bone, Suitable beer","Finely slice the garlic. In a bowl, mix a pinch of salt, garlic and chilli with ketchup, honey, orange juice, vinegar and orange zest.Season the meat generously with salt and pepper on both sides. Then increase the temperature to 180 ˚C and bake for a further 45 minutes. Pour the marinade over everything., Heat the oven to 160 ˚C., Heat the oil in a frying pan over a high heat and brown the meat on all sides, including the side with the fat. Place the chops in a baking dish."
64,Pulled pork,"Red onion, Mustard (all kinds), Pickles, Bread, Black pepper , Vegetable oil, Salt, Whole and sliced pork neck, Wine suitable for pork","As a pastry you can use a baguette, toasted bread or any other kind of pastry. You can also use hamburger buns. However, before filling, cut them open and dry-fry them briefly on the cut side on a grill or frying pan.

Select the type of mustard to your taste., Brush the meat on all sides with oil, salt and pepper. Put it in a baking dish, add water to a height of 1,5 cm and cover it thoroughly with foil., Cut the cucumber diagonally into slices and cut the onion into fine marigolds., Cut the bread, grease with mustard and spread the torn meat, cucumber and onion on it., Heat the oven to 100 ˚C., Put it in the heated oven for 10 hours. Remove the foil, pour the fat over the meat and return to the oven for another 4 hours. Then, using forks, tear it into small pieces directly in the baking dish. Thoroughly mix with the fat that is in the baking dish and place in a bowl."
65,French potatoes,"Potatoes type A, B, C, Onions, Milk, Pickles, Black pepper, Lard, Whipping cream (min. 31%), Breadcrumbs, Salt, Smoked meat, Eggs","Boil the potatoes in their skins in salted water until tender, let them cool and peel them.  Cut into slices 0,5 cm thick. Cut the meat into slices 0,5 cm thick. Peel the eggs and cut them into slices. In the baking dish, alternate layers of sliced potatoes, which we salt and pepper, smoked meat, boiled eggs and onions. Finish with a layer of potatoes., The French potatoes are excellent with pickles or vegetables or coleslaw., Heat the oven to 170 ºC. In a bowl, whisk the eggs with milk and cream with a fork, add 2 pinches of salt and freshly ground pepper. Pour the mixture into the baking dish, place in the preheated oven and bake for 50 minutes. Remove from the oven and leave to rest for 10 minutes."
66,Dill sauce,"Bay leaves, Celery, Whole black pepper, Fresh dill, Garlic, Onion, Semolina sugar, Plain flour, Mushroom dumplings, Whole beef shoulder, Beef broth, Butter, Carrots, Whole allspice, Vinegar, Parsley, Whipping cream (min. 31%), Salt, Suitable beer","To make the sauce perfectly smooth, you can strain it through a fine sieve before adding the chopped dill.

You can add hard dill stalks to the sauce to add flavour. Take them out before adding the chopped dill.

If you like the taste of the sauce sweeter or more acidic, add sugar or vinegar.

If you add salt to the sauce, you must stir the salt perfectly so that it can dissolve in the sauce. Then taste and add a little more salt if necessary.

Always add the dill at the end. Longer cooking would make it turn grey.

Once the foam stops forming, add the spices, salt and cook slowly uncovered until soft, approximately 3 hours. Slice the meat and serve with the sauce."
67,Chicken from one pot,"Garlic, Ground Chilli Spice, Courgette, Ground Cloves, Ground Coriander, Chopped Onion, Boneless Chicken Legs, Chicken Stock, Ground Turmeric, Honey, Carrots, Olive Oil, Black pepper, Flat-leaved parsley, Orange juice, Ground cumin, Rice, Ground cinnamon, Sweet paprika, Salt, Pasta, Wine suitable for poultry meat, Ginger","Add the zucchini and carrots to the casserole, stir and bake for 2 minutes. Stir occasionally. Add the onion, stir and bake for 1 minute., Place the casserole in the preheated oven and bake for 40 minutes. Before serving, stir in the chopped parsley., Add the orange juice and stock to the spices, add the honey and orange zest and stir. Bring to the boil and pour into the casserole with the chicken. Finely chop the onion. Slice the garlic. Cut the zucchini lengthwise into quarters and then cut them into slices 0,5 cm thick. Grate the ginger and squeeze the juice over the carrots, add the garlic and ginger, stir and bake for 2 minutes, stirring occasionally. Remove the casserole from the heat and place the roasted meat skin side up in it., Heat the oven to 180 °C., Heat the oil in the casserole on a higher heat and fry the meat in it for 4 minutes until golden brown on the"
68,"Roast pork neck with potatoes, garlic and rosemary","B-type boiling potatoes, Freshly crushed pepper, Garlic, Fresh rosemary, Lard, Salt, Whole and sliced pork neck, Wine suitable for pork","Wash the potatoes and cut into slices 0.5 cm thick. Spread them on a baking sheet greased with lard and salt and pepper evenly. Place 4 sprigs of rosemary on top, salt and pepper the meat slices on both sides and brush with lard. Place the meat on the potatoes, spread the garlic cloves and the chopped rest of the rosemary on top., Heat the oven to 200 °C., Pour water over the meat and bake for about 1 hour in the heated oven."
69,Stuffed pepper pod,"White pepper, Freshly cracked pepper, Garlic, Onion, Flour, Eggs, Egg, Whole beef shoulder, Butter, Milk, Rice, Salt, Pork neck, whole and sliced","Spread the remaining onion and the sliced butter into the baking dish. Add the filled peppers, cover with water to a height of 1 cm and place in a preheated oven for 50-60 minutes or until the temperature in the centre of the peppers reaches 85˚C. Transfer the finished peppers from the roasting tin to a plate and set aside. Boil the larger quantity briefly on a higher heat. If there is less juice, add water, bring to the boil, boil for half a minute and remove from the heat. Strain the juice through a fine sieve into a clean saucepan and season with salt and pepper to taste. If the peppers are smaller and you have leftover meat filling, simply make meatballs and bake them with the peppers or fry them in a pan until golden brown.

Form the meat into a ball first and fry it in the pan. Leave for a short time"
70,Roastbeef,"Baguette, Potatoes type A, B, C, Black pepper whole, Lemon juice, Spring onion, Capers, Kitchen twine, Mayonnaise, Butter, Pickles, Whole low roast beef, Black pepper , Whole milk mustard, Food foil, Rapeseed oil, Salt, Wine suitable for beef, Worcestershire sauce","Remove the finished roast from the oven, remove the string and immediately brush the meat with melted butter. Let rest on the baking sheet for 15 minutes, chop the capers coarsely. Finely grate the cucumbers. Chop the spring onions into fine noodles. Mix all the ingredients together in a bowl and leave to rest in the fridge for at least 2 hours. Season thoroughly on all sides with salt, pepper and mustard. Finally, drizzle the meat with Worcestershire sauce, place on a tray, cover with cling film and leave to rest overnight in the fridge. Turn several times, remove the meat from the refrigerator and let rest at room temperature for 1 hour. Pour the oil into a frying pan over a high heat and brown the meat on all sides until golden brown. Transfer to a baking tray, place in a preheated oven and bake for 30-35 minutes."
71,Hams,"Garlic, Flecks, Milk, Pickled cucumbers, Black pepper, Flat leaf parsley, Lard, Whipping cream (min. 31%), Breadcrumbs, Salt, Smoked meat, Eggs, Wine suitable for pork","Peel and crush the garlic. Whisk the eggs in a bowl with the cream and milk. Cut the smoked meat into 0,5 cm cubes. Cook the flecks in salted water until semi-soft and drain them., Mix the flecks in a bowl with the smoked meat, chopped parsley, garlic, 1 teaspoon salt and pepper. Pour in the eggs with cream and milk and mix everything thoroughly.

The hams will be better if you do not prepare them from cold pasta, but bake them still warm.

Put the mixture in a baking dish and bake in a preheated oven for 35 minutes. Then leave in the oven for 15 minutes to finish., Heat the oven to 170 °C. Grease the baking dish with lard and sprinkle with breadcrumbs."
72,Veal on mushrooms,"Bean leaves, Potatoes type A, B, C, Onions, Flour, Mushroom dumplings, Chicken stock, Butter, Black pepper, Fresh rosemary, Rice, Sage, Sunflower oil, Whipping cream (min. 31%), Dry white wine, Salt, Veal shoulder or leg, Pasta, Fresh and dried thyme, Suitable beer, Fresh whole and sliced mushrooms","Cut the meat into 4 cm cubes and place in a bowl. Add salt, pepper and oil and mix. Heat a frying pan on high heat and brown the meat on all sides. Pour in the wine and bring it to ⅓ of its volume, stirring occasionally. Remove the soft meat from the pan and set aside. Strain the sauce into a clean saucepan, add the cream, stir and blend with a stick blender. Bring to the boil, return the meat to the boil and cook for a further 3 minutes. Serve with steamed rice, wide noodles or ham dumplings, pour in the stock, stir and bring to the boil. Add the browned meat and all the contents of the pan, stir and bring to the boil. Reduce the heat to one third and cook over low heat until tender, about 50 minutes."
73,Pasta with pesto,"Fresh basil, Freshly crushed pepper, Garlic, Virgin olive oil, Whole Parmesan cheese, Grated Parmesan cheese, Pesto, Pine nuts, Salt, Pecorino cheese, Pasta, Wine suitable for pasta","Chop the basil, Put 3 litres of water in a saucepan to boil and season with 3 level tablespoons of salt. Once the water starts to boil, put the pasta in it, let it boil for 1-2 minutes and gently stir it. Cook the pasta as directed to taste, then drain it and set aside 100 ml of the water.Place the chopped basil, garlic, a tablespoon of pine nuts, parmesan, pecorino and olive oil in a taller narrow bowl and blend the mixture with an immersion blender. Salt and pepper., In a pan over medium heat, toast all the pine seeds (including the ones for finishing) until golden brown and transfer them to a cold bowl., On a plate, sprinkle the pasta with the rest of the pine nuts and parmesan or pecorino, You can make the pesto in larger quantities and store in a sealed jar in the fridge., Pour the pesto into a cold pan or bowl and add the cooked pasta and 2-3 tablespoons of the water in which the pasta was cooked. Stir and transfer to a plate."
74,Pork schnitzel with potato salad,"Potatoes type A, B, C, Potatoes, cooking type A, Celery, Onion, Lemon, Smooth flour, Kitchen paper, Mayonnaise, Carrots, Pickles, Baking paper, Black pepper , Parsley, Full fat mustard, Lard, Breadcrumbs, Eggs, Whole and sliced pork neck, Salt, Suitable beer","Place the finished fillets on a plate covered with kitchen paper. Let the excess fat drain off and let the cutlets rest for a while, they will then be juicier. Serve with lemon marigold and potato salad., Pat the meat, pepper both sides with freshly ground pepper and salt generously., Coat the meat gradually in flour, beaten egg and breadcrumbs., Heat the lard in a frying pan on high heat and reduce the heat to half. Put the steaks in the pan and slowly fry them on both sides until golden brown. Add mayonnaise, mustard, 2 teaspoons of salt, 1 teaspoon of freshly ground pepper and mix. Pour in 2 tablespoons of cucumber liqueur and stir. Carefully stir in the chopped eggs. Season with salt and refrigerate for at least 4 hours (preferably overnight)."
